CÓDIGO;COMPONENTE_CURRICULAR;HABILIDADE;
EF06MA17;MATEMÁTICA; Quantificar e Estabelecer relações entre o número de vértices, faces e arestas de prismas e pirâmides, em função do seu polígono da base, para resolver problemas e desenvolver a percepção espacial.;
EF06MA17;MATEMÁTICA; Quantificar, Estabelecer e Resolver relações entre o número de vértices, faces earestas de prismas e pirâmides para resolver problemas e desenvolver a percepção espacial.;
EF06MA24;MATEMÁTICA; Resolver e Elaborar  situações -problema que envolvam as grandezas comprimento, massa, tempo, tem peratura,área(triângulos e retângulos, capacidade e volume(sólidos formados por blocos retangulares sem uso de fórmulas, inseridos, sempre que possível, em contextos oriundos de situações reais e/ou relacionadas às outras áreas do conhecimento.;
EF07AR24;ARTE;  Reconhecer, Apreciar e Investigar artistas, grupos e coletivos cênicos de teatro de animação paulistas, brasi leiros e estrangeiros de diferentes épocas investigando os modos de criação, produção, divulgação, circulação e organização da atuação profissional em teatro.;
EF07AR26;ARTE; Explorar e Reconhecer diferentes elementos envolvidos na composição de acontecimentos cênicos do teatro de animação (personagens, adereços, cenário, iluminação e sonoplastia e reconhecer seus vocabulários.;
EF07AR27;ARTE; Pesquisar e Criar formas de dramaturgias no teatro de animação, em diálogo com o teatro contemporâneo.;
EF07AR28;ARTE; Experimentar , de maneira imaginativa na improvisação teatral e no jogo cênico, as construções de movimento (manipulação e vocais de personagens do teatro de animação.;
EF07AR30;ARTE; Compor e Explorar cenas, performances, esquetes e improvisações com base em textos dramáticos ou outros estímulos (música, imagens, objetos etc., explorando o teatro de animação e considerando arelação com o espectador.;
EF07CI09;CIÊNCIAS; Interpretar as condições de saúde da comunidade, cidade ouestado, com base naleitura, análise ecomparaçãodeindicadoresdesaúde -taxa de mortalidade infantil, cobertura de saneamento básico e incidência de doenças de veiculação hídrica, atmosférica,entreoutros - ederesultadosdepolíticas públicas destinadas àsaúde.;
EF07CI10;CIÊNCIAS;A Identificar principais características de vírus e bactérias e as principais patologias que provo - cam no organismo humano.;
EF07CI10;CIÊNCIAS;B Argumentar sobre a importância da vaci - nação para a saúde pública, com base em informações sobre a maneira como a vacina atua no organismo e opapelhistóricodavacinaçãopara amanutenção da saúde individual e coletiva e para a erradicação de doenças.;
EF07CI11;CIÊNCIAS; Analisar historicamente o uso da tecnolo - gia, incluindo a digital, nas diferentes dimensões da vida humana, considerando e propondo soluções com base em indicadores ambientais e de qualidade de vida.;
EF07EF02;EDUCAÇÃO FÍSICA; Identificar as transformações nas características dos jogos eletrônicos emfunção dos avançosdas tecnologias;
EF07EF05;EDUCAÇÃO FÍSICA; Planejar e Utilizar estratégias para solucionar os desafios técnicos e táticos, tanto nos esportes de precisão e técnico combinatórios como nas modalidades esportivas escolhidas para praticar.;
EF07EF24;EDUCAÇÃO FÍSICA;*  Identificar as exigências corporais mobilizadas na prática dos diferentes jogos eletrônicos relacionando as capacidades físicas.;
EF07EF25;EDUCAÇÃO FÍSICA;* Relacionar e Associar a prática de exercícios físicos à promoção da saúde, reconhecendo a importância da adoção de um estilo de vida saudável.;
EF07GE05;GEOGRAFIA; Analisar e Discutir fatos e situações representativas das alterações ocorridas entre o período mercantilista e o advento do capitalismo  e discutir aspectos econômicos,políticos, sociais, culturais eambientais  associados a esse período em diferentes lugares.;
EF07GE06;GEOGRAFIA; Analisar e Discutir a apropriação dos recursos naturais pelas diferentes sociedades  e discutir como os processos produtivos, a circulação e o consumo de mercadorias provocam impactos socioambientais e influem nas relações de trabalho e na distribuição de riquezas em diferentes lugares.;
EF07GE08;GEOGRAFIA; Estabelecer e Analisar relações entre os processos de industrialização e inovação tecnológica  e analisar as transformações socioeconômicas, políticas, culturais e ambientai do territóriobrasileiro;
EF07GE09;GEOGRAFIA;A Interpretar e Elaborar mapas temáticos com base em informações históricas, demográficas, sociais e econômicas do território brasileiro.;
EF07GE20;GEOGRAFIA;* Explicar, Identificar e Discutir o conceito de desenvolvimento sustentável,  identificar os seus indicadores econômicos, culturais, sociais, ambientais e políticos e discutir as vantagens e desvantagens em diferentes lugares.;
EF07GE21;GEOGRAFIA;* Relacionar e Discutir os processos produtivos sustentáveis com as práticas de consumo consciente e responsável e discutir caminhos para a construçãode sociedades sustentáveis.;
EF07HI15;HISTÓRIA; Discutir o conceito de escravidão moderna, distinguindo-o em relação ao escravismo antigo e à servidão medieval.;
EF07HI16;HISTÓRIA;" Analisar os mecanismos e as dinâmicas do comércio de escravizados em suas diferentes fases, identificando os agentes do tráfico e as regiões africanas de procedência dos escravizados.""";
EF07HI17;HISTÓRIA; Discutir  as razões da passagem  do mercantilismo para o capitalismo.;
EF07HI19;HISTÓRIA;* Analisar e Identificar  as condições das pessoas escravizadas    e identificar as formas de resistência à escravidão na América Portuguesa.;
EF07HI20;HISTÓRIA;* Relacionar  o racismo da contemporaneidade  ao processo de escravização das populações africanas e afrodescendentes no período colonial.;
EF07LI01;INGLÊS; Interagir em situações de intercâmbio oral para realizar as atividades em sala de aula, de forma respeitosa e colaborativa, trocando ideias e engajando -se em brincadeiras e jogos.;
EF07LI02;INGLÊS;  Entrevistar  os colegas para conhecer suas histórias de vida.;
EF07LI03;INGLÊS;  Mobilizar conhecimentos prévios para compreender texto oral.;
EF07LI04;INGLÊS; Identificar o contexto, a fina - lidade, o assunto e os interlocutores em textos orais presentes no cinema, na internet, na televisão, entre outros.;
EF07LI05;INGLÊS; Compor, em língua inglesa, narrativas orais sobre fatos, acontecimen - tos e personalidades marcantes do passado.;
EF07LI06;INGLÊS; Selecionar em um texto, a informação desejada como objetivo de leitura.;
EF07LI07;INGLÊS;  Identificar a(s informação(ões chave de partes de um texto em língua inglesa (parágrafos.;
EF07LI08;INGLÊS; Relacionar as partes de um texto (parágrafos para construir seu senti - do global.;
EF07LI09;INGLÊS;  Selecionar ,em um texto, a informação desejada como objetivo de leitura.;
EF07LI11;INGLÊS; Participar de troca de opiniões einformações sobre textos lidos nasala de aula ou em outros ambientes.;
EF07LI12;INGLÊS; Planejar a escrita de textos em funçãodocontexto(público,finalidade, layout e suporte.;
EF07LI15;INGLÊS; Construir repertório lexical relativo a verbos regulares e irregulares (formas no passado, preposições de tempo (in,on,at e conectores (and ,but, because, then , so , before , after, entre outros.;
EF07LI22;INGLÊS; Explorar modos de falar em língua inglesa, refutando preconceitos e reconhecendo a variação linguística como fenômeno natural das línguas.;
EF07LP03;PORTUGUÊS; Utilizar, com base em palavras primitivas, palavras derivadas com os prefixos e sufixos mais produtivos no português.;
EF07LP05;PORTUGUÊS;A Identificar, em orações de textoslidosoudeproduçãoprópria,verbos de predicação incompleta transitivos. EF07LP05B Identificar, em orações de textoslidosoudeproduçãoprópria,verbos de predicação completa intransitivos.;
EF07LP05;PORTUGUÊS;B Identificar, em orações de textoslidosoudeproduçãoprópria,verbos de predicação completa intransitivos.;
EF07LP05;PORTUGUÊS;C Identificar, em orações de textoslidosoudeproduçãoprópria,verbos de predicação bitransitiva transitivos e intransitivos.;
EF07LP07;PORTUGUÊS; Identificar, em textos de diferentes gêneros, a estrutura básica da oração: sujeito, predicado, complemento objetos direto e indireto.;
EF07LP10;PORTUGUÊS; Utilizar, ao produzir diferentes gêneros, conhecimentos linguísticos e gramaticais, já estudados.;
EF07LP12;PORTUGUÊS; Reconhecerrecursos de coesão referenciallexical epronominalemtextos de diferentes gêneros.;
EF07LP27;PORTUGUÊS; Analisar, entre os textos literários e entre estes e outras manifestações artísticas como cinema, teatro,música,artesvisuais emidiáticas, referências explícitas ou implícitas a outros textos,quantoaos temas,personag;
EF07LP28;PORTUGUÊS; Reconhecer, em textos, o verbo como o núcleo das orações.;
EF07MA02;MATEMÁTICA; Resolver e Elaborar  situações -problema que envolvam porcentagem, como os que lidam com acréscimos e decréscimos simples, utilizando estratégias pessoais, cálculo mental e calculadora no contexto de educação financeira, entre outros.;
EF07MA02;MATEMÁTICA; Resolver e Elaborar situações-problema que envolvam porcentagem, como os que lidam com acréscimos e decréscimos simples utilizando estratégias pessoais, cálculo mental e calculadora no contexto de educação financeira, entre outros.;
EF07MA17;MATEMÁTICA; Resolver e Elaborar  situações -problema que envolvam variação de proporcionalidade direta e de proporcionalidade inversa entre duas grandeza utilizando sentença algébrica para expressar a relação entre elas.;
EF07MA17;MATEMÁTICA; Resolver e Elaborar situações-problema que envolvam variação de proporcionalidade direta e de proporcionalidade inversa entre duas grandezas utilizando sentença algébrica para expressar a relação entre elas.;
EF07MA27;MATEMÁTICA; Calcular e Estabelecer  medidas de ângulos internos de polígonos regulares, sem o uso de fórmulas, e estabelecer relações entre ângulos internos e externos de polígonos, preferencialmente vinculadas à construção de mosaicos e de ladrilhamentos.;
EF07MA33;MATEMÁTICA; Estabelecer  o número  π como a razão entre  a medida de uma circunferência e seu diâmetro  para compreender e resolver problemas, inclusive os de natureza histórica.;
EF07MA34;MATEMÁTICA; Planejar e Realizar experimentos aleatórios ou simulações que envolvem cálculo de probabilidades ou estimativas por meio de frequência de ocorrências.;
EF07MA35;MATEMÁTICA; Compreender em contextos significativos, o significado de média estatística como indicador da tendência de uma pesquisa, calcular seu valor e relacioná -lo, intuitivamente, com a amplitude do conjunto de dados.;
EF07MA36;MATEMÁTICA; Planejar, Realizar e Interpretar pesquisa envolvendo tema da realidade social,  identificando a necessidade de ser censitária ou de usar amostra, e interpretar os dados para comunicá - los por meio de relatório escrito, tabelas e gráficos, com o apoio de planilhas eletrônicas.;
EF08AR24;ARTE;  Reconhecer e Apreciar artistas, grupos, coletivos cênicos e manifestações cênicas de matriz indígena, africana e afro -brasileira de diferentes épocas, investigando os modos de criação, produção, divulgação, circulação e organização da atuação profissional.;
EF08AR25;ARTE;  Investigar,Identificar e Analisar poéticas pessoais emdiferentestempos e espaços,inclusiveno contexto paulista e brasileiro, relacionando o teatro às diferentes dimensões da vida em sociedade e aprimorando a capacidade de apreciação estética teatral.;
EF08AR26;ARTE;  Explorar e Rconhecer iferentes elementos envolvidos na composição de manifestações cênicas de matriz indígena, africana e afro -brasileira (figurinos, adereços, maquia - gem/visagismo, cenário e sonoplastia e reconhecer seus vocabulários.;
EF08AR28;ARTE; Experimentar , de maneira imaginativa na improvisação teatral e no jogo cênico, a gestualidade e as construções corporais e vocais de personagens que representem a diversidade do povo brasileiro, problematizando e combatendo estereótipos e preconceitos.;
EF08CI01;CIÊNCIAS; Identificar e classificar diferentes fontes, renováveis e não renováveis, e comparar como a ener - gia éutilizadaemresidências, comunidades oucida - des em relação aos princípios da sustentabilidade.;
EF08CI02;CIÊNCIAS; Planejar e construir circuitos elétricos com pilha/bateria, fios e lâmpada ou outros dispositivos e compará -los aos circuitos elétricos residenciais.;
EF08CI03;CIÊNCIAS; Classificar equipamentoselétricosresiden - ciais, tais como chuveiro, ferro, lâmpadas, TV,rádio, geladeira e outros, de acordo com o tipo de transfor - maçãodeenergiaelétricaparaasenergias térmica, luminosa, sonora e mecânica.;
EF08CI04;CIÊNCIAS; Calcular o consumo de eletrodomésticos, a partir dos dados de potência descritos no próprio equipamento e tempo médio de uso, para comparar e avaliar seu impacto no consumo doméstico.;
EF08CI05;CIÊNCIAS; Propor e implementar ações coletivas em sua escola ou comunidade para uso consciente da energia elétrica consumo de energia e eficiência energética e descarte de equipamentos, principalmente os eletrônicos, com vistas ao desenvolvimento de uma sociedade sustentável.;
EF08CI06;CIÊNCIAS;A Identificar e explicar o percurso da ele - tricidade desde a sua produção, nas usinas geradoras termelétricas,hidrelétricas,eólicas eoutras,atésua cidade, comunidade, casa ou escola.;
EF08CI08;CIÊNCIAS;B Identificar e explicar as interações que ocorrementreossistemas nervoso eendócrino, bem como a manifestação no desenvolvimento do organis - mo humano, nos aspectos comportamentais, morfoló - gicos e fisiológicos.;
EF08CI10;CIÊNCIAS;Identificarsintomas,modosdetransmis - são, tratamento das principais Infecções Sexualmente Transmissíveis -IST, incluindo HIV/Aids e discutir e argumentar sobre a importância das estratégias e mé - todos de prevenção como promoção do autocuidado e como uma questão de saúde pública.;
EF08CI11;CIÊNCIAS; Reconhecer a sexualidade humana na sua integralidade, selecionando argumentos que eviden - ciem as dimensões biológicas, socioculturais, afetivas eéticas, valorizando erespeitando a diversidade de manifestações e expressões da identidade humana e compreendendo o preconceito e a discriminação como uma construção social.;
EF08CI17;CIÊNCIAS;* Discutir e propor o uso da energia de modo confiável, sustentável, moderno eeconomica - mente acessível para todos.;
EF08CI18;CIÊNCIAS;*Investigar o processo de produção e o consumo de equipamentos eletrônicos e argumentar comcriticidadesobre oimpactonasaúdeindividuale coletivadaspessoas,propondomodosdeconsumo mais sustentáveis.;
EF08EF09;EDUCAÇÃO FÍSICA;  Problematizar a prática excessiva de exercícios físicos e o uso de medicamentos para a ampliação do rendimento ou potencialização das transformações corporais.;
EF08EF19;EDUCAÇÃO FÍSICA;  Experimentar e Fruir diferentes práticas corporais de aventura na natureza, valorizando a própria segurança e integridade física, bem como as dos demais.;
EF08EF20;EDUCAÇÃO FÍSICA; Identificar riscos, formular estratégias e observar normas de segurança para superar os desafios na realização de práticas corporais de aventura na natureza.;
EF08EF22;EDUCAÇÃO FÍSICA;* Identificar e Discutir as contribuições da prática da ginástica de conscientização à melhoria da qualidade de vida.;
EF08GE10;GEOGRAFIA; Distinguir e Analisar conflitos e ações dos movimentos sociais brasileiros, no campo e na cidade, comparando com outros movimentos sociais existentes nos países latino -americanos.;
EF08GE15;GEOGRAFIA; Analisar a importância dos principais recursos hídricos da América Latina e discutir os desafios relacionados à gestão e comercialização da água.;
EF08GE16;GEOGRAFIA;A Identificar, Comparar e Analisar as principais problemáticas sociais, econômicas, demográficas, culturais, ambientais, políticas entre outras e relacionar com o processo de urbanizaçãodas cidades latino-americanas.;
EF08GE16;GEOGRAFIA;B Disscutir e Relacionar as particularidades da distribuição, estrutura e dinâmica da população  e relacionar com as condições de vida qualidade de vida e trabalho nas cidades latino -americanas, em especial no Brasil.;
EF08GE17;GEOGRAFIA; Analisar e Discutir as diferenças na apropriação dos espaços urbanos relacionando-as com os processos de exclusão social e segregação socioespacial e discutir as políticas públicas de planejamento urbano dos países latino-americanos, em especial do Brasil.;
EF08GE18;GEOGRAFIA; Elaborar e Analisar  mapas ou outras formas de representações cartográficas para analisar as redes e as dinâmicas urbanas e rurais,ordenamento territorial, contextos culturais ,modo de vida e usos e ocupação do solo na América e na África.;
EF08GE20;GEOGRAFIA;B Analisar, Relacionar e Discutir as desigualdades sociais e econômicas de países e grupos de países da América e da África e relacionar com as pressões sobre a natureza e a apropriação de suas riquezas e discutir as consequências para as populações desses países e impactos para biodiversidade.;
EF08GE21;GEOGRAFIA; Analisar e Discutir  o papel ambiental e territorial da Antártica no contexto geopolítico, sua relevância para os países da América do Sul, em especial para o Brasil e discutir o seu valor como área destinada à pesquisa e à compreensão das alterações climáticas e do meio ambiente global.;
EF08GE22;GEOGRAFIA; Analisar e Relacionar a relevância dos principais recursos naturais e fontes energéticas e relacionar com processos de cooperação entre os países do Mercosul e outros blocos regionais da América Latina e do mundo.;
EF08HI19;HISTÓRIA;A Formular  questionamentos sobre o legado da escravidão nas Américas com base na seleção e consulta de fontes de diferentes naturezas.;
EF08HI20;HISTÓRIA; Identificar, Relacionar e Discutir  aspectos das estruturas sociais da atualidade  com os legados da escravidão no Brasil e discutir a importância de ações afirmativas.;
EF08HI21;HISTÓRIA; Identificar e Analisar  as políticas oficiais  com relação ao indígena durante o Império.;
EF08HI22;HISTÓRIA; Discutir  o papel das culturas letradas, não letradas e das artes  na produção das identidades no Brasil do século XIX.;
EF08HI23;HISTÓRIA; Estabelecer  relações causais entre as ideologias raciais e o determinismo  no contexto do imperialismo europeu e seus impactos na África e na Ásia.;
EF08HI24;HISTÓRIA;" Reconhecer e Analisar os principais produtos procedentes do continente africano utilizados pelos europeus durante o imperialismo e analisar os impactos sobre as formas de organização e exploração econômica das comunidades locais.""";
EF08HI25;HISTÓRIA; Caracterizar e Contextualizar  aspectos das relações  entre os Estados Unidos da América e a América Latina no século XIX.;
EF08HI27;HISTÓRIA; Identificar as tensões e os significados dos discursos civilizatórios  avaliando seus impactos negativos para os povos indígenas originários e para as populações negras nas Américas, com base na seleção e consulta de fontes de diferentes naturezas.;
EF08LI03;INGLÊS;  Construir o sentido global de textos orais, relacionando suas partes, o assunto principal e informações relevantes.;
EF08LI05;INGLÊS;   Inferir informações e relações que não aparecem de modo explícito no texto para construção desentidos.;
EF08LI06;INGLÊS; Apreciar textosnarrativos em língua inglesa (contos, romances, entre outros, em versão original ou simplificada, como forma de valorizar o patrimônio cultural produzido em língua inglesa.;
