CÓDIGO;COMPONENTE_CURRICULAR;HABILIDADE;
EF09CI15;CIÊNCIAS; Identificar e relacionar diferentes leituras docéu eexplicações sobre aorigem daTerra, doSol ou do Sistema Solar às necessidades de distintas culturas agricultura, caça, mito, orientação espacial e temporal, entre outras.;
EF09CI16;CIÊNCIAS; Pesquisar e selecionar argumentos sobre a viabilidade da sobrevivência humana fora da Terra, combasenascondiçõesnecessárias àvida,nasca - racterísticas dos planetas, nas distâncias e tempo en - volvido em viagens interplanetárias e interestelares.;
EF09CI17;CIÊNCIAS; Descrever o ciclo evolutivo doSol - nas - cimento,vida emorte -combasenoconhecimento das etapas de evolução de estrelas e analisar possíveis efeitos desse processo em nosso planeta.;
EF09CI20;CIÊNCIAS;*Investigar ediscutirosavançostecno - lógicos conquistados pelahumanidadeaolongoda exploração espacial e suas interferências no modo de vidahumanocomonacomunicação enaprodução equipamentos, entre outros.;
EF09EF19;EDUCAÇÃO FÍSICA;  Explorar diferentes práticas corporais de aventura na natureza, respeitando o patrimônio natural e minimizando os impactos de degradação ambiental.;
EF09EF20;EDUCAÇÃO FÍSICA;  Identificar, Formular e Adotar riscos, formular estratégias e adotar procedimentos de segurança para a prevenção de acidentes em práticas corporais de aventura na natureza.;
EF09EF21;EDUCAÇÃO FÍSICA; Identificar as características (equipamentos de segurança, instrumentos, indumentária, organização das práticas corporais de aventura na natureza, bem como suas transformações históricas.;
EF09EF23;EDUCAÇÃO FÍSICA;* Discutir as implicações dos hábitos alimentares na incidência de obesidade, na saúde e qualidade de vida.;
EF09EF24;EDUCAÇÃO FÍSICA;* Identificar a relação entre exercício físico e composição corporal.;
EF09EF25;EDUCAÇÃO FÍSICA;* Identificar os princípios  do treinamento físico.;
EF09GE10;GEOGRAFIA; Analisar a importância dos organismos internacionais na governança global e na solução de conflitos geopolíticos;
EF09GE11;GEOGRAFIA; Relacionar, Analisar e Discutir  as mudanças técnicas e científicas decorrentes do processo de industrialização  com as transformações no trabalho e analisar e discutir as potencialidades e fragilidades desse processo em diferentes regiões do mundo, em especial no Brasil.;
EF09GE18;GEOGRAFIA; Identificar os impactos do processo de industrialização na produção e circulação de produtos e culturas  na Europa, na Ásia e na Oceania.;
EF09HI08;HISTÓRIA; Identificar  as transformações ocorridas  no debate sobre as questões da diversidade no Brasil durante o século XX e compreender o significado das mudanças de abordagem em relação ao tema.;
EF09HI22;HISTÓRIA; Discutir  o papel da mobilização da sociedade brasileira  do final do período ditatorial até a Constituição de 1988.;
EF09HI24;HISTÓRIA; Analisar  as transformações políticas, econômicas, sociais e culturais de 1989 aos dias atuais,   identificando questões prioritárias para a promoção da cidadania e dos valores democráticos.;
EF09HI27;HISTÓRIA; Relacionar  aspectos das mudanças econômicas, culturais, sociais e tecnológicas ocorridas no Brasil a partir da década de 1990 ao papel do País no cenário internacional na era da globalização.;
EF09HI31;HISTÓRIA; Descrever e Avaliar  os processor de descolonização na África e na Ásia,  identificando o papel dos principais movimentos nacionalistas nas lutas pela independência.;
EF09HI32;HISTÓRIA; Analisar mudanças e permanências associadas ao processo de globalização  considerando os argumentos dos movimentos críticos às políticas globais.;
EF09HI33;HISTÓRIA; Analisar  as transformações nas relações políticas locais e globais  geradas pelo desenvolvimento das tecnologias digitais de informação e comunicação.;
EF09HI34;HISTÓRIA; Discutir as motivações da adoção de diferentes políticas econômicas na América Latina , assim como seus impactos sociais nos países da região.;
EF09HI35;HISTÓRIA; Analisar os aspectos relacionados ao fenômeno do terrorismo na contemporaneidade incluindo os movimentos migratórios e os choques entre diferentes grupos e culturas.;
EF09HI36;HISTÓRIA; Identificar e Discutir  as diversidades identitárias e seus significados históricos no início do século XXI, combatendo qualquer forma de preconceito e violência através do desenvolvimento de um projeto de âmbito escolar e comunitário;
EF09LI06;INGLÊS; Distinguir fatos de opiniões em textos argumentativos da esfera jornalística.;
EF09LI07;INGLÊS;  Identificar argumentos principais e as evidências/exemplos que os sustentam.;
EF09LI14;INGLÊS; Utilizar conectores indicadores de adição, condição, oposição, contraste, conclusão e síntese como auxiliares na construção da argumentação e intencionalidade discursiva.;
EF09LP01;PORTUGUÊS;A Analisar o fenômeno da disseminação de notícias falsas nas redes sociais.;
EF09LP01;PORTUGUÊS;B Desenvolver estratégias para reconhecimento de notícias falsas nas redes sociais, considerando, por exemplo, fonte, data, local da publicação, autoria, URL, comparação de diferentes fontes, consulta a sites de curadoria que atestam a fidedignidadedefatosrelatados.;
EF09MA08;MATEMÁTICA; Resolver e Elaborar situações -problema que envolvam relações de proporcionalidade direta e inversaentre duas ou mais grandezas, inclusive escalas, divisão em partes proporcionais e taxa de variação,  em contextos socioculturais, ambientais  e de outras áreas.;
EF09MA11;MATEMÁTICA; Resolver problemas por meio do estabelecimento de relações entre arcos, ângulos centrais e ângulos inscritos na circunferência fazendo uso, inclusive, de softwares de geometria dinâmica.;
EF09MA20;MATEMÁTICA; Reconhecer e Calcular  em experimentos aleatórios, eventos independentes e dependentes e calcular a probabilidade de sua ocorrência, nos dois casos.;
EF67LP28;PORTUGUÊS; Ler e compreender – selecionando procedimentos e estratégias de leitura adequados a diferentes objetivos e levando em conta características dos gêneros e suportes –, romances infantojuvenis, contos populares, contos de terror, lendas brasileiras, indígenas e africanas, poemas, entre outros, expressandoavaliaçãosobre otextolido e estabelecendo preferências por gêneros, temas, autores.;
EF67LP32;PORTUGUÊS;Escrever palavras com correção ortográfica, obedecendoasconvençõesda língua escrita.;
EF69LP05;PORTUGUÊS;A Inferir, em textos multissemióticos, o efeito de sentido humor,ironiaoucríticaproduzidopelo uso de palavras, expressões, imagens, clichês, recursos iconográficos, pontuação, entre outros.;
EF69LP05;PORTUGUÊS;A Inferir, em textos multissemióticos, o efeito de sentido humor,ironiaoucríticaproduzidopelo uso de palavras, expressões, imagens, clichês, recursos iconográficos, pontuação, entre outros. EF69LP05B Jus;
EF69LP06;PORTUGUÊS; Produzir notícias, fotodenúncias, fotorreportagens, reportagens, infográficos, podcasts noticiosos, entrevistas, cartas de leitor, comentários, artigos de opinião de interesse localouglobal,textosdeapresentaçãoe apreciação de produção cultural resenhas e outros gêneros textuais próprios das formas de expressão das culturas juvenis, em várias mídias.;
EF69LP11;PORTUGUÊS; Identificar e analisar posicionamentos defendidos e refutados na escuta de interações polêmicas em entrevistas, discussões e debates televisivo,emsaladeaula,emredes sociaisetc.,entreoutros, eseposicionar frente a eles.;
EF69LP12;PORTUGUÊS;A Desenvolver estratégias de planejamento, elaboração, revisão, edição, reescrita/ redesign esses três últimos quando não for situação ao vivo.;
EF69LP19;PORTUGUÊS; Analisar, em gêneros orais que envolvam argumentação, os efeitos de sentido de elementos típicos da modalidade falada, como a pausa, a entonação, o ritmo, a gestualidade e expressão facial, as hesitações etc;
EF69LP22;PORTUGUÊS;A Analisar pontos de vista, reivindicações, levando em conta seu contextodeprodução eascaracterísticas dos textos reivindicatórios ou propositivos.;
EF69LP23;PORTUGUÊS; Contribuir com aescrita de textos normativos regras e regulamentos nos vários âmbitos da escola, levando emconta ocontextodeprodução eas características dos gêneros em questão.;
EF69LP25;PORTUGUÊS; Posicionar -se de forma consistente e sustentada em uma discussão, assembleia, reuniões de colegiados da escola,deagremiações eoutras situações de apresentação de propostas e defesas de opiniões, respeitando as opiniões contrárias epropostas alternativasefundamentando seusposicionamentos,notempodefala previsto, valendo -se de sí;
EF69LP32;PORTUGUÊS;Selecionarinformações edados relevantes defontesdiversas impressas, digitais, orais etc., avaliando a qualidade e a utilidade dessas fontes, e organizar, esquematicamente, com ajuda do professor, asinformaçõesnecessáriassemexcedê - las com ou sem apoio de ferramentas digitais, em quadros, tabelas ou gráficos.;
EF69LP33;PORTUGUÊS;ABC Articular o verbal com os esquemas, infográficos, imagens variadas etc. na reconstrução dos sentidos dos textos de divulgação científica eretextualizar do discursivo para o esquemático – infográfico, esquema, tabela, gráfico, ilustraçãoetc. –e,aocontrário,transformar o conteúdo das tabelas, esquemas, infográficos, ilustrações etc. em texto discursivo, como forma de ampliar as possibilidades de compreensão desses textos e analisar as características das multissemioses edosgênerosemquestão.;
EF69LP44;PORTUGUÊS; Inferir a presença de valores sociais, culturais e humanos e de diferentes visões de mundo, em textos literários, reconhecendo nesses textos formas de estabelecer múltiplos olhares sobre as identidades, sociedades e culturas e considerando a autoria e o contexto social e histórico de sua produção.;
EF69LP47;PORTUGUÊS; Analisar, em textos narrativos ficcionais, as diferentes formas de composição próprias de cada gênero, os recursos coesivos que constroem a passagem do tempo e articulam suas partes, a escolha lexical típica de cada gênero para a caracterização dos cenários edospersonagens eosefeitosdesentido decorrentes dos tempos verbais, dos tipos de discurso, dos verbos deenunciação e das variedades linguísticas empregados. expressões conotativas e processos figurativos edousoderecursoslinguístico - gramaticais próprios a cada gênero narrativo.;
EF69LP50;PORTUGUÊS;" Elaborar texto teatral, a partir da adaptação de romances, contos, mitos, narrativas de enigma e de aventura, novelas, biografias romanceadas, crônicas, dentre outros, indicando as rubricas para caracterizaçãodocenário,doespaço,do tempo; explicitando a caracterização física epsicológicadospersonagensedosseus modos de ação; reconfigurando a inserção do discurso direto e dos tipos de narrador; explicitando as marcas de variação linguísticadialetos,registros ejargões e retextualizando o tratamento da temática.";
EF69LP55;PORTUGUÊS; Reconhecer em textos de diferentes gêneros as variedades da língua falada, oconceitodenorma -padrão e ode preconceito linguístico.;
EF69LP56;PORTUGUÊS; Fazer uso consciente ereflexivo danorma -padrãoemsituaçõesdefalae escritaemtextosdediferentesgêneros, levando em consideração o contexto, situação de produção e as características do gênero.;
EF89LP03;PORTUGUÊS; Analisar textos de opinião artigos de opinião, editoriais, cartas de leitores, comentários, posts de blog e de redes sociais, charges, memes, gifs etc. e posicionar -se de forma crítica e fundamentada, ética erespeitosa frente a fatos e opiniões relacionados a esses textos.;
EF89LP04;PORTUGUÊS;A Identificar argumentos e contra -argumentos explícitos em textos argumentativos.;
EF89LP04;PORTUGUÊS;B Analisar argumentos e contra -argumentos explícitos em textos argumentativos.;
EF89LP05;PORTUGUÊS;Analisar oefeitodesentido provocados pelouso,emtextos,deformas de apropriação textual paráfrases, citações, discursodireto,discursoindireto ediscurso indireto livre.;
EF89LP17;PORTUGUÊS; Relacionar textos e documentos legais e normativos de importância universal, nacional ou local Declaração dos Direitos Humanos, Constituição Brasileira, ECA, regulamentação da organização escolar, entre outros que envolvam direitos, em especial, de crianças, adolescentes e jovens;
EM13CHS202;CIÊNCIAS HUMANAS; Analisar e avaliar os impactos das tecnologias na estruturação e nas dinâmicas de grupos, povos e sociedades contemporâneos fluxos populacionais, financeiros, de mercadorias, de informações, de valores éticos e culturais etc., bem como suas interferências nas decisões políticas, sociais, ambientais, econômicas e culturais.;
EM13CHS204;CIÊNCIAS HUMANAS; Comparar e avaliar os processos de ocupação do espaço e a formação de territórios, territorialidades e fronteiras  identificando o papel de diferentes agentes (como grupos sociais e culturais, impérios, Estados Nacionais e organismos internacionais e considerando os conflitos populacionais (internos e externos, a diversidade étnico-cultural e as características socioeconômicas, políticas e tecnológicas.;
EM13CHS303;CIÊNCIAS HUMANAS; Debater e avaliar o papel da indústria cultural e das culturas de massa no estímulo ao consumismo, seus impactos econômicos e socioambientais, com vistas à percepção crítica das necessidades criadas pelo consumo e à adoção de hábitos sustentáveis.;
EM13CHS306;CIÊNCIAS HUMANAS; Contextualizar, Comparar e Avaliar os impactos de diferentes modelos socioeconômicos no uso dos recursos naturais e na promoção da sustentabilidade econômica e socioambiental do planeta (como a adoção dos sistemas da agrobiodiversidade e agroflorestal por diferentes comunidades, entre outros.;
EM13CHS401;CIÊNCIAS HUMANAS; Identificar e Analisar  as relações entre sujeitos, grupos, classes sociais e sociedades  com culturas distintas diante das transformações técnicas, tecnológicas e informacionais e das novas formas de trabalho ao longo do tempo, em diferentes espaços (urbanos e rurais e contextos.;
EM13CHS402;CIÊNCIAS HUMANAS; Analisar e Comparar  indicadores de emprego, trabalho e renda  em diferentes espaços, escalas e tempos, associando-os a processos de estratificação e desigualdade social.;
EM13CHS404;CIÊNCIAS HUMANAS; Identificar e discutir os múltiplos aspectos do trabalho em diferentes circunstâncias e contextos históricos e/ou geográficos e seus efeitos sobre as gerações, em especial, os jovens, levando em consideração, na atualidade, as transformações técnicas, tecnológicas e informacionais.;
EM13CHS501;CIÊNCIAS HUMANAS; Analisar os fundamentos da ética nas diferentes culturas, tempo e espaço,  identificando processos que contribuem para a formação de sujeitos éticos que valorizem a liberdade, a cooperação, a autonomia, o empreendedorismo, a convivência democrática e a solidariedade.;
EM13CHS503;CIÊNCIAS HUMANAS; Identificar diversas formas de violência (física, simbólica, psicológica etc.,  suas principais vítimas, suas causas sociais, psicológicas e afetivas, seus significados e usos políticos, sociais e culturais, discutindo e avaliando mecanismos para combatê-las, com base em argumentos éticos.;
EM13CHS504;CIÊNCIAS HUMANAS; Analisar e avaliar os impasses ético-políticos decorrentes das transformações culturais, sociais, históricas, científicas e tecnológicas no mundo contemporâneo e seus desdobramentos nas atitudes e nos valores de indivíduos, grupos sociais, sociedades e culturas.;
EM13CHS601;CIÊNCIAS HUMANAS; Identificar e Analisar as demandas e os protagonismos políticos, sociais e culturais dos povos indígenas e das populações afrodescendentes (incluindo os quilombolas no Brasil contemporâneo considerando a história das Américas e o contexto de exclusão e inclusão precária desses grupos na ordem social e econômica atual, promovendo ações para a redução das desigualdades étnico-raciais no país.;
EM13CHS603;CIÊNCIAS HUMANAS; Analisar  a formação de diferentes países, povos e nações  e de suas experiências políticas e de exercício da cidadania  aplicando conceitos políticos básicos (Estado, poder, formas, sistemas e regimes de governo, soberania etc.. ;
EM13CNT102;CIÊNCIAS DA NATUREZA; Realizar previsões, avaliar intervenções e/ou construir protótipos de sistemas térmicos que visem à sustentabilidade, considerando sua composição e os efeitos das variáveis termodinâmicas sobre seu funcionamento, considerando também o uso de tecnologias digitais que auxiliem no cálculo de estimativas e no apoio à construção dos protótipos.;
EM13CNT103;CIÊNCIAS DA NATUREZA; Utilizar o conhecimento sobre as radiações e suas origens para avaliar as potencialidades e os riscos de sua aplicação em equipamentos de uso cotidiano, na saúde, no ambiente, na indústria, na agricultura e na geração de energia elétrica.;
EM13CNT107;CIÊNCIAS DA NATUREZA; Realizar previsões qualitativas e quantitativas sobre o funcionamento de geradores, motores elétricos e seus componentes, bobinas, transformadores, pilhas, baterias e dispositivos eletrônicos, com base na análise dos processos de transformação e condução de energia envolvidos – com ou sem o uso de dispositivos e aplicativos digitais –, para propor ações que visem a sustentabilidade.;
EM13CNT207;CIÊNCIAS DA NATUREZA; Identificar, analisar e discutir vulnerabilidades vinculadas às vivências e aos desafios contemporâneos aos quais as juventudes estão expostas, considerando os aspectos físico, psicoemocional e social, a fim de desenvolver e divulgar ações de prevenção e de promoção da saúde e do bem-estar.;
EM13CNT306;CIÊNCIAS DA NATUREZA; Avaliar os riscos envolvidos em atividades cotidianas, aplicando conhecimentos das Ciências da Natureza, para justificar o uso de equipamentos e recursos, bem como comportamentos de segurança, visando à integridade física, individual e coletiva, e socioambiental, podendo fazer uso de dispositivos e aplicativos digitais que viabilizem a estruturação de simulações de tais riscos.;
EM13CNT308;CIÊNCIAS DA NATUREZA; Investigar e analisar o funcionamento de equipamentos elétricos e/ou eletrônicos e sistemas de automação para compreender as tecnologias contemporâneas e avaliar seus impactos sociais, culturais e ambientais.;
EM13CNT309;CIÊNCIAS DA NATUREZA; Analisar questões socioambientais, políticas e econômicas relativas à dependência do mundo atual em relação aos recursos não renováveis e discutir a necessidade de introdução de alternativas e novas tecnologias energéticas e de materiais, comparando diferentes tipos de motores eprocessos de produção de novos materiais.;
EM13CNT310;CIÊNCIAS DA NATUREZA; Investigar e analisar os efeitos de programas de infraestrutura e demais serviços básicos saneamento, energia elétrica, transporte, telecomunicações, cobertura vacinal, atendimento primário à saúde e produção de alimentos, entre outros e identificar necessidades locais e/ou regionais em relação a esses serviços, a fim de avaliar e/ou promover ações que contribuam para a melhoria na qualidade de vida e nas condições de saúde da população.;
EM13LGG102;LINGUAGENS; Analisar visões de mundo, conflitos de interesse, preconceitos e ideologias presentes nos discursos veiculados nas diferentes mídias, ampliando suas possibilidades de explicação, interpretação e intervenção crítica da/na realidade.;
EM13LGG103;LINGUAGENS;  Analisar o funcionamento das linguagens, para interpretar e produzir criticamente discursos em textos de diversas semioses (visuais, verbais, sonoras, gestuais.;
EM13LGG104;LINGUAGENS; Utilizar as diferentes linguagens, levando em conta seus funcionamentos, para a compreensão e produção de textos e discursos em diversos campos de atuação social.;
EM13LGG201;LINGUAGENS; Utilizar as diversas linguagens artísticas, corporais e verbais em diferentes contextos, valorizando-as como fenômeno social, cultural, histórico, variável, heterogêneo e sensível aos contextos de uso.;
EM13LGG202;LINGUAGENS; Analisar interesses, relações de poder e perspectivas de mundo nos discursos das diversas práticas de linguagem (artísticas, corporais e verbais, compreendendo criticamente o modo como circulam, constituem-se e (reproduzem significação e ideologias.;
EM13LGG202;LINGUAGENS; Analisar interesses, relações de poder e perspectivas de mundo nos discursos das diversas práticas de linguagem artísticas, corporais e verbais, compreendendo criticamente o modo como circulam, constituem-se e reproduzem significação e ideologias.;
EM13LGG204;LINGUAGENS; Dialogar e produzir entendimento mútuo, nas diversas linguagens artísticas, corporais e verbais, com vistas ao interesse comum pautado em princípios e valores de equidade assentados na democracia e nos Direitos Humanos.;
EM13LGG302;LINGUAGENS; Posicionar-se criticamente diante de diversas visões de mundo presentes nos discursos em diferentes linguagens, levando em conta seus contextos de produção e de circulação.;
EM13LGG303;LINGUAGENS; Debater questões polêmicas de relevância social, analisando diferentes argumentos e opiniões, para formular, negociar e sustentar posições, frente à análise de perspectivas distintas.;
EM13LGG305;LINGUAGENS; Mapear e Criar por meio de práticas de linguagem, possibilidades de atuação social, política, artística e cultural para enfrentar desafios contemporâneos, discutindo princípios e objetivos dessa atuação de maneira crítica, criativa, solidária e ética.;
EM13LGG401;LINGUAGENS; Analisar criticamente textos de modo a compreender e caracterizar as línguas como fenômeno (geopolítico, histórico, social, cultural, variável, heterogêneo e sensível aos contextos de uso.;
EM13LGG403;LINGUAGENS; Fazer uso do inglês como língua de comunicação global, levando em conta a multiplicidade e variedade de usos, usuários e funções dessa língua no mundo contemporâneo.;
EM13LGG503;LINGUAGENS; Vivenciar práticas corporais e significálas em seu projeto de vida, como forma de autoconhecimento, autocuidado com o corpo e com a saúde, socialização e entretenimento.;
EM13LP01;PORTUGUÊS;Relacionar o texto, tanto na produção como na leitura/escuta, com suas condições de produção e seu contexto sócio-histórico de circulação leitor/audiência previstos, objetivos, pontos de vista e perspectivas, papel social do autor, época, gênero do discurso etc., de forma a ampliar as possibilidades de construção de sentidos e de análise crítica e produzir textos adequados a diferentes situações.;
EM13LP02;PORTUGUÊS; Estabelecer relações entre as partes do texto, tanto na produção como na leitura/escuta, considerando a construção composicional e o estilo do gênero.;
EM13LP02;PORTUGUÊS; Reconhecer adequadamenteelementos e recursos coesivos diversos que contribuam. para a coerência, a continuidade do texto e sua progressão temática, organizando informações, tendo em vista as condições de produção.;
EM13LP02;PORTUGUÊS;" Reconhecer em um texto as relações lógico-discursivas envolvidas causa/efeito ou consequência; tese/argumentos; problema/solução; definição/exemplos etc..";
EM13LP05;PORTUGUÊS;Analisar, em textos argumentativos, os posicionamentos assumidos, os movimentos argumentativos sustentação, refutação/contraargumentação e negociação e os argumentos utilizados para sustentálos, para avaliar sua força e eficácia, e posicionar-se criticamente diante da questão discutida e/ou dos argumentos utilizados, recorrendo aos mecanismos linguísticos necessários.;
EM13LP09;PORTUGUÊS;Comparar o tratamento dado pela gramática tradicional e pelas gramáticas de uso contemporâneas em relação a diferentes tópicos gramaticais, de forma a perceber as diferenças de abordagem e o fenômeno da variação linguística e analisar motivações que levam ao predomínio do ensino da norma-padrão na escola.;
EM13LP15;PORTUGUÊS;Planejar, produzir, revisar, editar, reescrever e avaliar textos escritos e multissemióticos, considerando sua adequação às condições de produção do texto, no que diz respeito ao lugarsocial a ser assumido e à imagem que se pretende passar a respeito de si mesmo, ao leitor pretendido, ao veículo e mídia em que o texto ou produção cultural vai circular, ao contexto imediato e sócio-histórico mais geral, ao gênero textual em questão e suas regularidades, à variedade linguística apropriada a esse contexto e ao uso do conhecimento dos aspectos notacionais ortografia padrão, pontuação adequada, mecanismos de concordância nominal e verbal, regência verbal etc., sempre que o contexto o exigir.;
EM13LP21;PORTUGUÊS;Produzir, de forma colaborativa, e socializar playlists comentadas de preferências culturais e de entretenimento, revistas culturais, fanzines, e-zines ou publicações afins que divulguem, comentem e avaliem músicas, games, séries, filmes, quadrinhos, livros, peças, exposições, espetáculos de dança etc., de forma a compartilhar gostos, identificar afinidades, fomentar comunidades etc.;
EM13LP26;PORTUGUÊS; Relacionar textos e documentos legais e normativos de âmbito universal, nacional, local ou escolar que envolvam a definição de direitos e deveres – em especial, os voltados a adolescentes e jovens – aos seus contextos de produção.;
EM13LP26;PORTUGUÊS; Identificar possíveis motivações e finalidades, como forma de ampliar a compreensão de direitos e deveres em textos e documentos legais e normativos que envolvam as definições de direitos e deveres – em especial, os voltados a adolescentes e jovens.;
EM13LP40;PORTUGUÊS;Analisar o fenômeno da pós-verdade – discutindo as condições e os mecanismos de disseminação de fake news e também exemplos, causas e consequências desse fenômeno e da prevalência de crenças e opiniões sobre fatos –, de forma a adotar atitude crítica em relação ao fenômeno e desenvolver uma postura flexível que permita rever crenças e opiniões quando fatos apurados as contradisserem.;
EM13LP46;PORTUGUÊS;Compartilhar sentidos construídos na leitura/escuta de textos literários,percebendo diferenças e eventuais tensões entre as formas pessoais e as coletivas de apreensão desses textos, para exercitar o diálogo cultural e aguçar a perspectiva crítica.;
EM13LP47;PORTUGUÊS;Participar de eventos saraus, competições orais, audições, mostras, festivais, feiras culturais e literárias, rodas e clubes de leitura, cooperativas culturais, jograis, repentes, slams etc., inclusive para socializar obras da própria autoria poemas, contos e suas variedades, roteiros e microrroteiros, videominutos, playlists comentadas de música etc. e/ou interpretar obras de outros, inserindo-se nas diferentes práticas culturais de seu tempo.;
EM13LP48;PORTUGUÊS;Identificar assimilações, rupturas e permanências no processo de constituição da literatura brasileira e ao longo de sua trajetória, por meio da leitura e análise de obras fundamentais do cânone ocidental, em especial da literatura portuguesa, para perceber a historicidade de matrizes e procedimentos estéticos.;
EM13LP49;PORTUGUÊS;Perceber as peculiaridades estruturais e estilísticas de diferentes gêneros literários a apreensão pessoal do cotidiano nas crônicas, a manifestação livre e subjetiva do eu lírico diante do mundo nos poemas, a múltipla perspectiva da vida humana e social dos romances, a dimensão política e social de textos da literatura marginal e da periferia etc. para experimentar osdiferentes ângulos de apreensão do indivíduo e do mundo pela literatura.;
EM13LP52;PORTUGUÊS;Analisar obras significativas das literaturas brasileiras e de outros países e povos, em especial a portuguesa, a indígena, a africana e a latino-americana, com base em ferramentas da crítica literária estrutura da composição, estilo, aspectos discursivos ou outros critérios relacionados a diferentes matrizes culturais, considerando o contexto de produção visões de mundo, diálogos com outros textos, inserções em movimentos estéticos e culturais etc. e o modo como dialogam com o presente.;
EM13LP53;PORTUGUÊS;Produzir apresentações e comentários apreciativos e críticos sobre livros, filmes, discos, canções, espetáculos de teatro e dança, exposições etc. resenhas, vlogs e podcasts literários e artísticos, playlists comentadas, fanzines, e-zines etc.;
EM13LP54;PORTUGUÊS;Criar obras autorais, em diferentes gêneros e mídias – mediante seleção e apropriação de recursos textuais e expressivos do repertório artístico –, e/ou produções derivadas paródias, estilizações, fanfics, fanclipes etc., como forma de dialogar crítica e/ou subjetivamente com o texto literário.;
EM13MAT307;MATEMÁTICA; Empregar e Deduzir diferentes métodos para a obtenção da medida da área de uma superfície (reconfigurações, aproximação por cortes etc.  e deduzir expressões de cálculo para aplicá-las em situações reais (como o remanejamento e a distribuição de plantações, entre outros, com ou sem apoio de tecnologias digitais;
EM13MAT309;MATEMÁTICA; Resolver e Elaborar problemas que envolvem o cálculo de áreas totais e de volumes de prismas, pirâmides e corpos redondos em situações reais (como o cálculo do gasto de material para revestimento ou pinturas de objetos cujos formatos sejam composições dos sólidos estudados, com ou sem apoio de tecnologias digitais.;
EM13MAT314;MATEMÁTICA; Resolver e Elaborar problemas que envolvem grandezas determinadas pela razão ou pelo produto de outras (velocidade, densidade demográfica, energia elétrica etc..;
EM13MAT316;MATEMÁTICA; Resolver e Elaborar problemas, em diferentes contextos, que envolvem cálculo e interpretação das medidas de tendência central (média, moda, mediana e das medidas de dispersão (amplitude, variância e desvio padrão.;
EM13MAT506;MATEMÁTICA; Representar graficamente a variação da área e do perímetro de um polígono regular quando os comprimentos de seus lados variam, analisando e classificando as funções envolvidas.;
